,precision,recall,f1-score,support
0,0.9656652360515021,0.9259259259259259,0.9453781512605043,243.0
1,0.935064935064935,0.968609865470852,0.9515418502202644,223.0
3,0.8771929824561403,0.8368200836820083,0.8565310492505352,239.0
4,0.9017857142857143,0.8859649122807017,0.8938053097345132,228.0
5,0.8479087452471483,0.9065040650406504,0.8762278978388999,246.0
accuracy,0.904156064461408,0.904156064461408,0.904156064461408,0.904156064461408
macro avg,0.905523522621088,0.9047649704800277,0.9046968516609434,1179.0
weighted avg,0.9050194655427942,0.904156064461408,0.9041317367380303,1179.0
