,precision,recall,f1-score,support
0,0.8728813559322034,0.8477366255144033,0.860125260960334,243.0
1,0.8638297872340426,0.9103139013452914,0.8864628820960698,223.0
3,0.7081545064377682,0.6903765690376569,0.6991525423728813,239.0
4,0.7882882882882883,0.7675438596491229,0.7777777777777777,228.0
5,0.7233201581027668,0.7439024390243902,0.7334669338677355,246.0
accuracy,0.7905004240882103,0.7905004240882103,0.7905004240882103,0.7905004240882103
macro avg,0.7912948191990139,0.791974678914173,0.7913970794149596,1179.0
weighted avg,0.7902117283344817,0.7905004240882103,0.7901232551422388,1179.0
