,precision,recall,f1-score,support
0,0.9327731092436975,0.9135802469135802,0.9230769230769231,243.0
1,0.9188034188034188,0.9641255605381166,0.9409190371991246,223.0
3,0.815668202764977,0.7405857740585774,0.7763157894736842,239.0
4,0.8461538461538461,0.8201754385964912,0.8329621380846326,228.0
5,0.8141263940520446,0.8902439024390244,0.8504854368932039,246.0
accuracy,0.8651399491094147,0.8651399491094147,0.8651399491094147,0.8651399491094147
macro avg,0.8655049942035967,0.865742184509158,0.8647518649455137,1179.0
weighted avg,0.8648854098898136,0.8651399491094147,0.8641279866381103,1179.0
